title,category,tempo_bpm,f0_mean_hz,cardiac_chd_ptsd,cardiac_lqts,cardiac_hcm,cardiac_heart_failure,cardiac_af_arrhythmia,cardiac_post_cardiac_surgery,safe_chd_ptsd,safe_lqts,safe_hcm,safe_heart_failure,safe_af_arrhythmia,safe_post_cardiac_surgery
Ngoma Healing Drum Chant,African Traditional,152.0,200.02,1.795,1.518,1.243,0.958,0.86,1.155,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Bwiti Mvet Chant,African Traditional,152.0,200.02,1.795,1.518,1.243,0.958,0.86,1.155,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
San Bushman Healing Song,African Traditional,112.35,87.67,4.517,4.291,3.95,3.387,3.672,3.584,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Lakota Sun Dance Song,Native American,117.45,180.25,4.342,4.191,3.821,3.747,3.456,3.859,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Navajo Night Chant Yeibichai,Native American,73.83,160.11,5.97,5.0,5.787,4.918,5.5,5.415,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Inuit Throat Singing Katajjaq,Native American,117.45,180.25,4.343,4.191,3.821,3.404,3.456,3.601,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Taoist Morning Liturgy Huangjing,Taoist,63.02,139.96,6.168,5.0,5.995,5.043,5.5,5.54,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Taoist Fu Breathing Meditation,Taoist,117.45,60.91,3.676,3.247,3.044,4.068,2.791,3.891,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Taoist Incense Offering Chant,Taoist,73.83,160.11,5.97,5.0,5.787,4.918,5.5,5.415,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Norito Oharae Kotoba,Shinto,51.68,90.13,6.477,5.0,6.0,5.192,5.5,5.689,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Kagura Sacred Dance Chant,Shinto,53.83,90.13,6.452,5.0,6.0,5.169,5.5,5.667,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Shinto Tamagushi Offering Chant,Shinto,50.67,90.13,6.489,5.0,6.0,5.202,5.5,5.7,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Shiva Damroo Dhwani Bhajan,Bhajan,117.45,180.25,4.342,4.191,3.821,4.076,3.456,4.105,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Om Namah Shivaya Tabla Kirtan,Bhajan,71.78,161.18,5.537,5.0,5.305,6.06,5.258,6.183,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Carnatic Bhajan Tiruppugazh Mridangam,Tamil Stotram,117.45,180.25,4.342,4.191,3.821,3.404,3.456,3.601,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Aarti Jai Jagdish with Full Orchestra,Bhajan,172.27,95.59,0.325,0.0,0.0,0.0,0.0,0.0,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Shiva Puja Abhisheka Damroo Chant,Stotram,107.67,110.94,4.839,4.625,4.281,4.431,3.981,4.461,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Nyahbinghi Groundation Chant,Rastafari,184.57,69.65,0.0,0.0,0.0,0.0,0.0,0.0,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Rastafari Psalm Chant Ises,Rastafari,152.0,200.02,1.795,1.518,1.243,0.958,0.86,1.155,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Rastafari Reasoning Circle Chant,Rastafari,152.0,200.02,1.795,1.518,1.244,0.958,0.86,1.155,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Lalita Sahasranamam,Stotram,136.0,320.04,1.427,0.626,0.758,1.103,0.262,1.301,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Argala Stotram,Stotram,61.52,130.39,6.226,5.0,6.0,5.589,5.5,5.957,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Nirvana Shatakam,Stotram,64.6,130.39,6.19,5.0,6.0,5.709,5.5,6.039,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Soundarya Lahari,Stotram,83.35,210.56,5.681,5.0,5.486,4.788,5.393,5.286,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Achyutashtakam,Stotram,83.35,210.56,5.681,5.0,5.486,4.788,5.393,5.286,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Govind Bolo Hari Gopal Bolo,Bhajan,172.27,84.97,0.0,0.0,0.0,0.413,0.0,0.236,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Shree Ram Jai Ram Kirtan,Bhajan,161.5,206.41,0.272,0.0,0.0,1.101,0.0,0.924,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Hey Nath Tere Kitne Nam,Bhajan,83.35,210.56,5.681,5.0,5.486,4.788,5.393,5.286,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Jai Ho Ganesh Deva,Bhajan,123.05,291.66,2.828,2.244,2.213,2.343,1.744,2.54,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Meenakshi Pancharatnam,Tamil Stotram,83.35,210.56,5.681,5.0,5.486,4.788,5.393,5.286,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Kavadi Chindu Murugan,Tamil Stotram,117.45,175.12,4.364,4.221,3.844,3.41,3.484,3.608,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Sivan Vandana Tamil,Tamil Stotram,63.02,130.38,6.208,5.0,6.0,5.054,5.5,5.551,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Bhu Suktam,Vedic,64.6,130.39,6.19,5.0,6.0,5.709,5.5,6.039,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Rudra Suktam,Vedic,63.02,130.38,6.208,5.0,6.0,5.726,5.5,6.055,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Pali Metta Sutta,Buddhist,152.0,162.75,1.482,1.077,0.884,0.869,0.535,1.002,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Surah Ar Rahman Recitation,Islamic,83.35,210.56,5.681,5.0,5.486,4.788,5.393,5.286,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Yoruba Orisha Praise Song,African Traditional,143.55,189.91,2.44,2.201,1.897,1.562,1.523,1.759,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Yatha Ahu Vairyo Prayer,Zoroastrian,107.67,105.81,5.116,5.0,4.588,4.877,4.292,4.85,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Polyeleos Psalm 134 Byzantine,Greek Orthodox,71.78,155.11,6.016,5.0,5.836,4.946,5.5,5.443,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Zhang Zhung Mantra A,Tibetan Bon,52.73,95.05,6.454,5.0,6.0,6.683,5.5,6.805,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Heart Sutra Chinese Chanting,Taoist,99.38,113.23,5.049,4.762,4.498,4.542,4.195,4.647,SAFE,AVOID,AVOID,SAFE,AVOID,AVOID
Sukhmani Sahib Paath,Sikhism,76.0,180.25,5.876,5.0,5.69,4.885,5.5,5.383,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Rumi Ney Chant Beshno,Sufism,83.35,210.56,5.681,5.0,5.486,4.788,5.393,5.286,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Hopi Rain Song,Native American,117.45,175.12,4.364,4.221,3.844,3.754,3.484,3.865,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Rastafari Groundation Psalm,Rastafari,143.55,189.91,2.44,2.201,1.897,1.562,1.523,1.759,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Mi-kagura Shinto Court Music,Shinto,52.73,95.05,6.455,5.0,6.0,5.184,5.5,5.681,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
