title,duration_sec,f0_mean_hz,f0_median_hz,f0_std_hz,spectral_centroid_hz,spectral_rolloff_hz,tempo_bpm,zcr_mean,rms_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,source,mfcc_means,neuroacoustic_score,is_synthetic,category
Norito Oharae Kotoba,120.0,90.13,90.13,0.03,785.22,982.92,51.68,0.009271,0.246705,,,,,,,,,,,,,,json_cache,"[-322.9842, 81.3376, 77.7291, 66.6041, 52.4203, 36.8864, 21.886, 8.5062, -1.9797, -9.0563, -12.6762, -13.1733, -11.1077]",79.2,True,Shinto
Kagura Sacred Dance Chant,120.0,90.13,90.13,0.03,784.89,983.27,53.83,0.009291,0.24609,,,,,,,,,,,,,,json_cache,"[-323.2756, 81.2879, 77.6815, 66.6647, 52.5505, 36.9673, 21.827, 8.5542, -2.059, -9.2457, -12.7072, -13.0452, -11.1022]",73.7,True,Shinto
Shinto Tamagushi Offering Chant,120.0,90.13,90.13,0.03,784.29,980.5,50.67,0.009293,0.247111,,,,,,,,,,,,,,json_cache,"[-322.9313, 81.3258, 77.6434, 66.6509, 52.6016, 36.9633, 21.8448, 8.5032, -2.0421, -9.0867, -12.6567, -13.2174, -11.192]",79.4,True,Shinto
Shiva Damroo Dhwani Bhajan,120.0,180.25,180.25,0.0,921.31,1187.18,117.45,0.016735,0.249433,,,,,,,,,,,,,,json_cache,"[-313.8395, 85.074, 58.7173, 23.361, -4.6942, -17.6525, -16.4838, -9.1157, -3.7486, -5.1092, -11.6195, -17.9007, -19.3569]",60.8,True,Bhajan
Om Namah Shivaya Tabla Kirtan,120.0,161.18,164.34,64.28,1740.13,3732.29,71.78,0.065493,0.155075,,,,,,,,,,,,,,json_cache,"[-148.4893, 114.1151, 20.5988, 11.7551, -6.0415, -0.6949, -4.0208, -3.2537, -17.9749, -0.5381, -9.6211, 2.2777, -9.2021]",59.3,False,Bhajan
Carnatic Bhajan Tiruppugazh Mridangam,120.0,180.25,180.25,0.0,921.68,1186.99,117.45,0.016735,0.249669,,,,,,,,,,,,,,json_cache,"[-313.7147, 85.063, 58.7909, 23.4603, -4.6345, -17.74, -16.6673, -9.0097, -3.6609, -5.136, -11.4934, -17.7686, -19.3919]",50.0,True,Tamil Stotram
Aarti Jai Jagdish with Full Orchestra,120.0,95.59,61.2,92.92,1373.96,2658.35,172.27,0.053086,0.124639,,,,,,,,,,,,,,json_cache,"[-187.4564, 132.487, 12.0807, 27.0087, 14.6236, 0.3492, 12.0664, 6.0217, -0.0786, 6.7498, -7.499, 0.54, -5.7546]",38.1,False,Bhajan
Shiva Puja Abhisheka Damroo Chant,29.8,110.94,65.6,69.84,1175.91,2038.8,107.67,0.061153,0.061882,,,,,,,,,,,,,,json_cache,"[-262.5163, 147.1928, -25.4625, 6.9842, 5.5302, -6.4483, -14.1486, -13.9928, -14.0622, -11.3029, -11.6614, -10.1711, -4.2529]",55.1,False,Stotram
Nyahbinghi Groundation Chant,120.0,69.65,69.9,4.83,2252.68,5072.76,184.57,0.088168,0.036944,,,,,,,,,,,,,,json_cache,"[-208.269, 98.8417, 8.3338, 29.9978, -1.7067, 5.6551, 0.5145, 6.5385, -3.8871, 1.6649, 0.4315, 1.9529, -1.7047]",25.1,False,Rastafari
Rastafari Psalm Chant Ises,120.0,200.02,200.0,0.14,946.94,1214.53,152.0,0.018486,0.251414,,,,,,,,,,,,,,json_cache,"[-314.7939, 81.0618, 49.4267, 11.3985, -13.3173, -18.5405, -10.9287, -2.6022, -1.8168, -8.2619, -15.3, -17.0819, -13.292]",56.5,True,Rastafari
